"chemin","paquet","paquet_CLOC","paquet_LOC","paquet_DC","paquet_WCP","paquet_BC"
"org/jfree/chart/plot","org.jfree.chart.plot","14956.0","17120.0","0.87","174.0","0.29"
"org/jfree/chart/imagemap","org.jfree.chart.imagemap","440.0","193.0","2.28","9.0","0.25"
"org/jfree/chart/editor","org.jfree.chart.editor","1191.0","1514.0","0.79","61.0","0.01"
"org/jfree/data/json","org.jfree.data.json","86.0","105.0","0.82","20.0","0.05"
"org/jfree/chart/urls","org.jfree.chart.urls","901.0","641.0","1.41","16.0","0.09"
"org/jfree/chart/title","org.jfree.chart.title","2023.0","2242.0","0.9","15.0","0.06"
"org/jfree/data/xml","org.jfree.data.xml","703.0","472.0","1.49","9.0","0.17"
"org/jfree/data/flow","org.jfree.data.flow","560.0","419.0","1.34","9.0","0.15"
"org/jfree/chart","org.jfree.chart","5849.0","6222.0","0.94","1048.0","0.01"
"org/jfree/data/io","org.jfree.data.io","95.0","98.0","0.97","2.0","0.48"
"org/jfree/chart/needle","org.jfree.chart.needle","834.0","737.0","1.13","18.0","0.06"
"org/jfree/chart/encoders","org.jfree.chart.encoders","539.0","224.0","2.41","6.0","0.4"
"org/jfree/chart/labels","org.jfree.chart.labels","3323.0","2345.0","1.42","50.0","0.03"
"org/jfree/chart/axis","org.jfree.chart.axis","8513.0","9949.0","0.86","72.0","0.01"
"org/jfree/data/general","org.jfree.data.general","2835.0","2386.0","1.19","32.0","0.04"
"org/jfree/data/time/ohlc","org.jfree.data.time.ohlc","500.0","340.0","1.47","4.0","0.37"
"org/jfree/chart/resources","org.jfree.chart.resources","45.0","16.0","2.81","1.0","2.81"
"org/jfree/data/jdbc","org.jfree.data.jdbc","523.0","519.0","1.01","10.0","0.1"
"org/jfree/data/category","org.jfree.data.category","1154.0","854.0","1.35","10.0","0.14"
"org/jfree/chart/panel","org.jfree.chart.panel","295.0","446.0","0.66","6.0","0.11"
"org/jfree/data/gantt","org.jfree.data.gantt","1273.0","968.0","1.32","6.0","0.22"
"org/jfree/chart/renderer","org.jfree.chart.renderer","3169.0","2719.0","1.17","178.0","0.02"
"org/jfree/chart/entity","org.jfree.chart.entity","1574.0","1034.0","1.52","17.0","0.09"
"org/jfree/chart/util","org.jfree.chart.util","3116.0","2822.0","1.1","63.0","0.02"
"org/jfree/chart/date","org.jfree.chart.date","776.0","579.0","1.34","5.0","0.27"
"org/jfree/data/time","org.jfree.data.time","5561.0","4905.0","1.13","41.0","0.28"
"org/jfree/chart/renderer/category","org.jfree.chart.renderer.category","5976.0","6727.0","0.89","64.0","0.01"
"org/jfree/chart/renderer/xy","org.jfree.chart.renderer.xy","8552.0","9810.0","0.87","87.0","0.01"
"org/jfree/data","org.jfree.data","2810.0","2171.0","1.29","304.0","0.22"
"org/jfree/chart/ui","org.jfree.chart.ui","1760.0","1692.0","1.04","49.0","0.02"
"org/jfree/data/function","org.jfree.data.function","360.0","185.0","1.95","5.0","0.39"
"org/jfree/chart/text","org.jfree.chart.text","1075.0","1204.0","0.89","18.0","0.05"
"org/jfree/data/json/impl","org.jfree.data.json.impl","401.0","324.0","1.24","16.0","0.08"
"org/jfree/data/xy","org.jfree.data.xy","7147.0","4414.0","1.62","61.0","0.03"
"org/jfree/data/statistics","org.jfree.data.statistics","3088.0","2649.0","1.17","33.0","0.04"
"org/jfree/chart/block","org.jfree.chart.block","2501.0","2414.0","1.04","36.0","0.03"
"org/jfree/chart/plot/dial","org.jfree.chart.plot.dial","3076.0","2514.0","1.22","17.0","0.07"
"org/jfree/chart/servlet","org.jfree.chart.servlet","377.0","272.0","1.39","6.0","0.23"
"org/jfree/data/resources","org.jfree.data.resources","297.0","78.0","3.81","6.0","0.63"
"org/jfree/chart/plot/flow","org.jfree.chart.plot.flow","303.0","463.0","0.65","3.0","0.22"
"org/jfree/chart/annotations","org.jfree.chart.annotations","2795.0","2775.0","1.01","27.0","0.04"
"org/jfree/chart/event","org.jfree.chart.event","1009.0","271.0","3.72","20.0","0.19"
